NAME,RADIUS,GM,ID,J2,COMMENT
Nix,23000,2.15055226796933e6,902,0,Moon of Pluto. Source: NASA/JPL Horizons
Hydra,30500,3.66391710748056e6,903,0,Moon of Pluto. Source: NASA/JPL Horizons
Kerberos,14000,4.54073431273599e5,904,0,Moon of Pluto. Source: NASA/JPL Horizons
Phobos,11100,7.08754606689445e5,401,0,Moon of Mars. Source: NASA/JPL Horizons
Deimos,6200,9.61556964812031e4,402,0,Moon of Mars. Source: NASA/JPL Horizons
Triton,1353400,1.42759814072503e12,801,0,Moon of Neptune. Source: NASA/JPL Horizons
Nereid,170000,2.06e9,802,0,Moon of Neptune. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Naiad,33000,1.3e7,803,0,Moon of Neptune. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Thalassa,41000,2.5e7,804,0,Moon of Neptune. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Despina,75000,1.4e8,805,0,Moon of Neptune. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Galatea,88000,2.5e8,806,0,Moon of Neptune. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Larissa,97000000000,3.3e8,807,0,Moon of Neptune. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Proteus,210000,3.36e9,808,0,Moon of Neptune. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Halimede,31000,1.2e7,809,0,Moon of Neptune. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Psamathe,20000,3.3e6,810,0,Moon of Neptune. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Sao,22000,4.5e6,811,0,Moon of Neptune. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Laomedeia,21000,3.9e6,812,0,Moon of Neptune. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Neso,30000,1.1e7,813,0,Moon of Neptune. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
2004N1,9000,3e5,814,0,Moon of Neptune. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Ariel,578900,8.64e10,701,0,Moon of Uranus. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Umbriel,584700,8.15e10,702,0,Moon of Uranus. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Titania,788900,2.282e11,703,0,Moon of Uranus. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Oberon,761400,1.924e11,704,0,Moon of Uranus. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Miranda,235800,4.4e9,705,0,Moon of Uranus. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Cordelia,20100,3e6,706,0,Moon of Uranus. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Ophelia,21400,3.6e6,707,0,Moon of Uranus. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Bianca,27000,6.3e6,708,0,Moon of Uranus. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Cressida,41000,2.29e7,709,0,Moon of Uranus. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Desdemona,35000,1.19e7,710,0,Moon of Uranus. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Juliet,53000,3.72e7,711,0,Moon of Uranus. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Portia,70000,1.122e8,712,0,Moon of Uranus. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Rosalind,36000,1.7e7,713,0,Moon of Uranus. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Belinda,45000,2.38e7,714,0,Moon of Uranus. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Puck,81000,1.931e8,715,0,Moon of Uranus. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Caliban,36000,2e7,716,0,Moon of Uranus. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Sycorax,75000,1.8e8,717,0,Moon of Uranus. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Prospero,25000,6.6e6,718,0,Moon of Uranus. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Setebos,24000,5.8e6,719,0,Moon of Uranus. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Stephano,16,1.7e6,720,0,Moon of Uranus. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Trinculo,9000,3.1e5,721,0,Moon of Uranus. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Francisco,11000,5.6e6,722,0,Moon of Uranus. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Margaret,10000,4.2e5,723,0,Moon of Uranus. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Ferdinand,10000,4.2e5,724,0,Moon of Uranus. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Perdita,13000,1.2e6,725,0,Moon of Uranus. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Mab,12000,6e5,726,0,Moon of Uranus. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Cupid,9000,2e5,727,0,Moon of Uranus. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
